Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,Caged,Exp_Wild
YB140007 M,Yolo Bypass,NA,1999,M,-1.38,NA,uncaged,Wild
YB140008 M,Yolo Bypass,NA,1999,M,-2.46,NA,uncaged,Wild
YB140009 M,Yolo Bypass,NA,1999,M,-1.71,NA,uncaged,Wild
YB140010 M,Yolo Bypass,NA,1999,M,-1.04,NA,uncaged,Wild
YB140011 F COMBINE,Yolo Bypass,NA,1999,F,-0.95,NA,uncaged,Wild
YB140011 M,Yolo Bypass,NA,1999,M,-1.31,NA,uncaged,Wild
YB140012 M,Yolo Bypass,NA,1999,M,-1.78,NA,uncaged,Wild
YB140016 M,Yolo Bypass,NA,1999,M,-2.22,NA,uncaged,Wild
YB140017 M,Yolo Bypass,NA,1999,M,-3.85,NA,uncaged,Wild
YB140017 S COMBINED,Yolo Bypass,NA,1999,S,-0.7,NA,uncaged,Wild
YB140018 M,Yolo Bypass,NA,1999,M,-1.62,NA,uncaged,Wild
YB140019 M,Yolo Bypass,NA,1999,M,-1.89,NA,uncaged,Wild
YB140021 M,Yolo Bypass,NA,1999,M,-2.3,NA,uncaged,Wild
YB140022 M,Yolo Bypass,NA,1999,M,-2.3,NA,uncaged,Wild
YB140023 M,Yolo Bypass,NA,1999,M,-2.14,NA,uncaged,Wild
YB140024 M,Yolo Bypass,NA,1999,M,-2.29,NA,uncaged,Wild
YB140033 M,Yolo Bypass,NA,1999,M,-0.7,NA,uncaged,Wild
YB140034 M,Yolo Bypass,NA,1999,M,-1.47,NA,uncaged,Wild
YB140036 M,Yolo Bypass,NA,1999,M,-1.57,NA,uncaged,Wild
YB140041 M,Yolo Bypass,NA,1999,M,-1.4,NA,uncaged,Wild
YB140043 M,Yolo Bypass,NA,1999,M,-1.2,NA,uncaged,Wild
YB140045 M,Yolo Bypass,NA,1999,M,-0.21,NA,uncaged,Wild
YB140048 M,Yolo Bypass,NA,1999,M,-0.04,NA,uncaged,Wild
YB140049 M,Yolo Bypass,NA,1999,M,-3.67,NA,uncaged,Wild
YB140050 M,Yolo Bypass,NA,1999,M,-3.11,NA,uncaged,Wild
YB140051 M,Yolo Bypass,NA,1999,M,14.01,NA,uncaged,Wild
YB140052 M,Yolo Bypass,NA,1999,M,-1.58,NA,uncaged,Wild
YB140059 M,Yolo Bypass,NA,1999,M,-2.01,NA,uncaged,Wild
YB140060 M,Yolo Bypass,NA,1999,M,-2.57,NA,uncaged,Wild
YB140061 M,Yolo Bypass,NA,1999,M,-0.89,NA,uncaged,Wild
YB140062 M,Yolo Bypass,NA,1999,M,-2.98,NA,uncaged,Wild
YB140063 M,Yolo Bypass,NA,1999,M,-2.59,NA,uncaged,Wild
YB140064 M,Yolo Bypass,NA,1999,M,-0.91,NA,uncaged,Wild
YB140065 M,Yolo Bypass,NA,1999,M,0.93,NA,uncaged,Wild
YB140003 S COMBINED,Sacramento,NA,2012,S,3.52,NA,uncaged,Wild
YB140005 M,Sacramento,NA,2012,M,12.19,NA,uncaged,Wild
YB140005 S,Sacramento,NA,2012,S,7.48,NA,uncaged,Wild
YB140014 M,Sacramento,NA,2012,M,-1.89,NA,uncaged,Wild
YB140014 S,Sacramento,NA,2012,S,3.87,NA,uncaged,Wild
YB140015 M,Sacramento,NA,2012,M,10.02,NA,uncaged,Wild
YB140015-S,Sacramento,NA,2012,S,3.21,NA,uncaged,Wild
YB140020 M,Sacramento,NA,2012,M,11.02,NA,uncaged,Wild
YB140020 S,Sacramento,NA,2012,S,6.23,NA,uncaged,Wild
YB140037 M,Sacramento,NA,2012,M,1.03,NA,uncaged,Wild
YB140037 S,Sacramento,NA,2012,S,0.55,NA,uncaged,Wild
YB140038 S COMBINED,Sacramento,NA,2012,S,1.98,NA,uncaged,Wild
YB140056 M,Sacramento,NA,2012,M,4.06,NA,uncaged,Wild
YB140056 S,Sacramento,NA,2012,S,4.1,NA,uncaged,Wild
YB140057 M,Sacramento,NA,2012,M,3,NA,uncaged,Wild
YB140057 S,Sacramento,NA,2012,S,1.53,NA,uncaged,Wild
YB140069 S COMBINED,Sacramento,NA,2012,S,2.87,NA,uncaged,Wild
YB140075 M,Sacramento,NA,2012,M,2.02,NA,uncaged,Wild
YB140075 S,Sacramento,NA,2012,S,0.86,NA,uncaged,Wild
YB140042 M,Sacramento,NA,2013,M,-0.25,NA,uncaged,Wild
YB140042 S,Sacramento,NA,2013,S,-0.35,NA,uncaged,Wild
YB140046 M,Sacramento,NA,2013,M,0.35,NA,uncaged,Wild
YB140046 S,Sacramento,NA,2013,S,0.09,NA,uncaged,Wild
YB140070 S COMBINED,Sacramento,NA,2013,S,1.52,NA,uncaged,Wild
YB140083 M,Sacramento,NA,2013,M,3.44,NA,uncaged,Wild
YB140083 S,Sacramento,NA,2013,S,0.36,NA,uncaged,Wild
YB140089 M,Sacramento,NA,2013,M,2.93,NA,uncaged,Wild
YB140089 S,Sacramento,NA,2013,S,1.35,NA,uncaged,Wild
YB140095 M,Sacramento,NA,2013,M,4.44,NA,uncaged,Wild
YB140095 S,Sacramento,NA,2013,S,2.88,NA,uncaged,Wild
YB140031 M,Sacramento,NA,2014,M,12.96,NA,uncaged,Wild
YB140031 S,Sacramento,NA,2014,S,9.37,NA,uncaged,Wild
YB140032 M,Sacramento,NA,2014,M,-0.29,NA,uncaged,Wild
YB140032 S,Sacramento,NA,2014,S,-2.06,NA,uncaged,Wild
YB140067 M,Sacramento,NA,2014,M,3.09,NA,uncaged,Wild
YB140067 S,Sacramento,NA,2014,S,2.17,NA,uncaged,Wild
DM14007,Sacramento,2/12/2014,2014,M,2.3,-22,uncaged,Wild
DM14008,Sacramento,3/6/2014,2014,M,5.8,-25.56,uncaged,Wild
DM14016,Sacramento,4/11/2014,2014,M,2,-22.85,uncaged,Wild
DM14017,Sacramento,4/11/2014,2014,M,3.8,-30.76,uncaged,Wild
DM14018,Sacramento,4/11/2014,2014,M,12.8,-19.61,uncaged,Wild
DM14019,Sacramento,4/11/2014,2014,M,4.5,-23.04,uncaged,Wild
DM14020,Sacramento,4/11/2014,2014,M,12.1,-20.17,uncaged,Wild
DM14021,Sacramento,4/11/2014,2014,M,4.1,-31.22,uncaged,Wild
DM14022,Sacramento,4/11/2014,2014,M,12.1,-23.27,uncaged,Wild
DM14024,Sacramento,4/11/2014,2014,M,3.8,-23.16,uncaged,Wild
DM14025,Sacramento,4/11/2014,2014,M,2.5,-21.16,uncaged,Wild
DM14026,Sacramento,4/11/2014,2014,M,2.2,-22.94,uncaged,Wild
DM14027,Sacramento,4/11/2014,2014,M,12.8,-19.83,uncaged,Wild
DM14042,Sacramento,3/31/2014,2014,M,3.9,-25.16,uncaged,Wild
DM14051,Sacramento,5/2/2014,2014,M,10.8,-21.1,uncaged,Wild
DM14052,Sacramento,5/2/2014,2014,M,3.7,-24.65,uncaged,Wild
DM14053,Sacramento,5/7/2014,2014,M,7.8,-22.28,uncaged,Wild
DM14054,Sacramento,5/7/2014,2014,M,4.1,-24.98,uncaged,Wild
DM14059,Sacramento,4/22/2014,2014,M,5.4,-23.96,uncaged,Wild
DM14063,Sacramento,4/22/2014,2014,M,2.4,-25.13,uncaged,Wild
DM14064,Sacramento,4/22/2014,2014,M,7,-24.22,uncaged,Wild
DM14056,Sacramento,3/28/2014,2014,M,2.1,-25.68,uncaged,Wild
DM14058,Sacramento,3/28/2014,2014,M,7.5,-22.78,uncaged,Wild
DM14138,Sacramento,3/18/2014,2014,M,10.3,-21.27,uncaged,Wild
DM14139,Sacramento,3/18/2014,2014,M,10.3,-22.18,uncaged,Wild
DM14140,Sacramento,3/18/2014,2014,M,7.1,-22.8,uncaged,Wild
DM14143,Sacramento,4/8/2014,2014,M,10,-21.57,uncaged,Wild
DM14011,Sacramento,3/6/2014,2014,M,6.9,-24.99,uncaged,Wild
DM14023,Sacramento,4/11/2014,2014,M,13.2,-19.67,uncaged,Wild
DM14028,Sacramento,4/11/2014,2014,M,12.2,-20.11,uncaged,Wild
DM14014,Sacramento,3/12/2014,2014,M,3.4,-25.58,uncaged,Wild
DM14031,Sacramento,3/13/2014,2014,M,14,-18.61,uncaged,Wild
DM14043,Sacramento,3/31/2014,2014,M,4.7,-24.11,uncaged,Wild
DM14044,Sacramento,3/31/2014,2014,M,2.9,-23.16,uncaged,Wild
DM14045,Sacramento,3/31/2014,2014,M,3.5,-25.33,uncaged,Wild
NP14001,Yolo Bypass,2/14/2014,2014,M,4.3,-25.16,uncaged,Experimental
NP14002,Yolo Bypass,2/14/2014,2014,M,3.6,-27.27,uncaged,Experimental
NP14003,Yolo Bypass,2/14/2014,2014,M,4.1,-25.49,uncaged,Experimental
NP14004,Yolo Bypass,2/14/2014,2014,M,4.9,-25.28,uncaged,Experimental
NP14005,Yolo Bypass,2/14/2014,2014,M,3.4,-25.54,uncaged,Experimental
NP14006,Yolo Bypass,2/14/2014,2014,M,5.6,-26.09,uncaged,Experimental
NP14007,Yolo Bypass,2/21/2014,2014,M,1.2,-27.99,uncaged,Experimental
NP14008,Yolo Bypass,2/21/2014,2014,M,0.1,-27.72,uncaged,Experimental
NP14009,Yolo Bypass,2/21/2014,2014,M,0.3,-29.45,uncaged,Experimental
NP14010,Yolo Bypass,2/21/2014,2014,M,-0.3,-29.46,uncaged,Experimental
NP14011,Yolo Bypass,2/21/2014,2014,M,-0.3,-29.51,uncaged,Experimental
NP14012,Yolo Bypass,2/21/2014,2014,M,0.8,-28.75,uncaged,Experimental
NP14013,Yolo Bypass,2/28/2014,2014,M,-2.9,-30.71,uncaged,Experimental
NP14014,Yolo Bypass,2/28/2014,2014,M,-3.1,-30.87,uncaged,Experimental
NP14015,Yolo Bypass,2/28/2014,2014,M,-1.2,-29.96,uncaged,Experimental
NP14016,Yolo Bypass,2/28/2014,2014,M,-1.8,-31.04,uncaged,Experimental
NP14017,Yolo Bypass,2/28/2014,2014,M,-3.2,-29.69,uncaged,Experimental
