Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,d15N,Caged,WDN,R_FP,week ,Day,subsite,,,,
YB140024 M,Yolo Bypass,NA,1999,M,-2.29,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140033 M,Yolo Bypass,NA,1999,M,-0.7,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140034 M,Yolo Bypass,NA,1999,M,-1.47,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140036 M,Yolo Bypass,NA,1999,M,-1.57,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140041 M,Yolo Bypass,NA,1999,M,-1.4,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140043 M,Yolo Bypass,NA,1999,M,-1.2,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140045 M,Yolo Bypass,NA,1999,M,-0.21,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140048 M,Yolo Bypass,NA,1999,M,-0.04,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140049 M,Yolo Bypass,NA,1999,M,-3.67,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140050 M,Yolo Bypass,NA,1999,M,-3.11,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140051 M,Yolo Bypass,NA,1999,M,14.01,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140052 M,Yolo Bypass,NA,1999,M,-1.58,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140059 M,Yolo Bypass,NA,1999,M,-2.01,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140060 M,Yolo Bypass,NA,1999,M,-2.57,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140061 M,Yolo Bypass,NA,1999,M,-0.89,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140062 M,Yolo Bypass,NA,1999,M,-2.98,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140063 M,Yolo Bypass,NA,1999,M,-2.59,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140064 M,Yolo Bypass,NA,1999,M,-0.91,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140065 M,Yolo Bypass,NA,1999,M,0.93,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140003 S COMBINED,Sacramento,NA,2012,S,3.52,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140005 M,Sacramento,NA,2012,M,12.19,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140005 S,Sacramento,NA,2012,S,7.48,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140014 M,Sacramento,NA,2012,M,-1.89,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140014 S,Sacramento,NA,2012,S,3.87,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140015 M,Sacramento,NA,2012,M,10.02,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140015-S,Sacramento,NA,2012,S,3.21,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140020 M,Sacramento,NA,2012,M,11.02,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140020 S,Sacramento,NA,2012,S,6.23,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140037 M,Sacramento,NA,2012,M,1.03,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140037 S,Sacramento,NA,2012,S,0.55,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140038 S COMBINED,Sacramento,NA,2012,S,1.98,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140056 M,Sacramento,NA,2012,M,4.06,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140056 S,Sacramento,NA,2012,S,4.1,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140057 M,Sacramento,NA,2012,M,3,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140057 S,Sacramento,NA,2012,S,1.53,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140069 S COMBINED,Sacramento,NA,2012,S,2.87,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140075 M,Sacramento,NA,2012,M,2.02,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140075 S,Sacramento,NA,2012,S,0.86,NA,NA,uncaged,normal,River,0,NA,River,,,,
YB140001 M,San Joaquin,NA,2013,M,-2.37,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140001 S,San Joaquin,NA,2013,S,-2.31,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140042 M,Sacramento,NA,2013,M,-0.25,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140042 S,Sacramento,NA,2013,S,-0.35,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140046 M,Sacramento,NA,2013,M,0.35,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140046 S,Sacramento,NA,2013,S,0.09,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140070 S COMBINED,Sacramento,NA,2013,S,1.52,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140083 M,Sacramento,NA,2013,M,3.44,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140083 S,Sacramento,NA,2013,S,0.36,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140089 M,Sacramento,NA,2013,M,2.93,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140089 S,Sacramento,NA,2013,S,1.35,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140095 M,Sacramento,NA,2013,M,4.44,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140095 S,Sacramento,NA,2013,S,2.88,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140031 M,Sacramento,NA,2014,M,12.96,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140031 S,Sacramento,NA,2014,S,9.37,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140032 M,Sacramento,NA,2014,M,-0.29,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140032 S,Sacramento,NA,2014,S,-2.06,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140067 M,Sacramento,NA,2014,M,3.09,NA,NA,uncaged,dry,River,0,NA,River,,,,
YB140067 S,Sacramento,NA,2014,S,2.17,NA,NA,uncaged,dry,River,0,NA,River,,,,
DM14007,Sacramento,2/12/2014,2014,M,2.3,-22,14.22,uncaged,dry,River,0,NA,River,,,,
DM14008,Sacramento,3/6/2014,2014,M,5.8,-25.56,13.21,uncaged,dry,River,0,NA,River,,,,
DM14016,Sacramento,4/11/2014,2014,M,2,-22.85,12.43,uncaged,dry,River,0,NA,River,,,,
DM14017,Sacramento,4/11/2014,2014,M,3.8,-30.76,10.35,uncaged,dry,River,0,NA,River,,,,
DM14018,Sacramento,4/11/2014,2014,M,12.8,-19.61,12.53,uncaged,dry,River,0,NA,River,,,,
DM14019,Sacramento,4/11/2014,2014,M,4.5,-23.04,10.31,uncaged,dry,River,0,NA,River,,,,
DM14020,Sacramento,4/11/2014,2014,M,12.1,-20.17,12.36,uncaged,dry,River,0,NA,River,,,,
DM14021,Sacramento,4/11/2014,2014,M,4.1,-31.22,9.92,uncaged,dry,River,0,NA,River,,,,
DM14022,Sacramento,4/11/2014,2014,M,12.1,-23.27,13.01,uncaged,dry,River,0,NA,River,,,,
DM14024,Sacramento,4/11/2014,2014,M,3.8,-23.16,9.99,uncaged,dry,River,0,NA,River,,,,
DM14025,Sacramento,4/11/2014,2014,M,2.5,-21.16,13.94,uncaged,dry,River,0,NA,River,,,,
DM14026,Sacramento,4/11/2014,2014,M,2.2,-22.94,12.79,uncaged,dry,River,0,NA,River,,,,
DM14027,Sacramento,4/11/2014,2014,M,12.8,-19.83,12.46,uncaged,dry,River,0,NA,River,,,,
DM14042,Sacramento,3/31/2014,2014,M,3.9,-25.16,10.65,uncaged,dry,River,0,NA,River,,,,
DM14051,Sacramento,5/2/2014,2014,M,10.8,-21.1,11.38,uncaged,dry,River,0,NA,River,,,,
DM14052,Sacramento,5/2/2014,2014,M,3.7,-24.65,11.34,uncaged,dry,River,0,NA,River,,,,
DM14053,Sacramento,5/7/2014,2014,M,7.8,-22.28,13.2,uncaged,dry,River,0,NA,River,,,,
DM14054,Sacramento,5/7/2014,2014,M,4.1,-24.98,12.06,uncaged,dry,River,0,NA,River,,,,
DM14059,Sacramento,4/22/2014,2014,M,5.4,-23.96,12.83,uncaged,dry,River,0,NA,River,,,,
DM14063,Sacramento,4/22/2014,2014,M,2.4,-25.13,10.02,uncaged,dry,River,0,NA,River,,,,
DM14064,Sacramento,4/22/2014,2014,M,7,-24.22,12.11,uncaged,dry,River,0,NA,River,,,,
DM14056,Sacramento,3/28/2014,2014,M,2.1,-25.68,9.57,uncaged,dry,River,0,NA,River,,,,
DM14058,Sacramento,3/28/2014,2014,M,7.5,-22.78,13.04,uncaged,dry,River,0,NA,River,,,,
DM14138,Sacramento,3/18/2014,2014,M,10.3,-21.27,14.12,uncaged,dry,River,0,NA,River,,,,
DM14139,Sacramento,3/18/2014,2014,M,10.3,-22.18,13.87,uncaged,dry,River,0,NA,River,,,,
DM14140,Sacramento,3/18/2014,2014,M,7.1,-22.8,12.58,uncaged,dry,River,0,NA,River,,,,
DM14143,Sacramento,4/8/2014,2014,M,10,-21.57,13.74,uncaged,dry,River,0,NA,River,,,,
DM14011,Sacramento,3/6/2014,2014,M,6.9,-24.99,10.15,uncaged,dry,River,0,NA,River,,,,
DM14023,Sacramento,4/11/2014,2014,M,13.2,-19.67,12.01,uncaged,dry,River,0,NA,River,,,,
DM14028,Sacramento,4/11/2014,2014,M,12.2,-20.11,12.31,uncaged,dry,River,0,NA,River,,,,
DM14014,Sacramento,3/12/2014,2014,M,3.4,-25.58,9.17,uncaged,dry,River,0,NA,River,,,,
DM14031,Sacramento,3/13/2014,2014,M,14,-18.61,16.38,uncaged,dry,River,0,NA,River,,,,
DM14043,Sacramento,3/31/2014,2014,M,4.7,-24.11,11,uncaged,dry,River,0,NA,River,,,,
DM14044,Sacramento,3/31/2014,2014,M,2.9,-23.16,10.72,uncaged,dry,River,0,NA,River,,,,
DM14045,Sacramento,3/31/2014,2014,M,3.5,-25.33,10.52,uncaged,dry,River,0,NA,River,,,,
NA,Yolo Bypass,2/5/2015,2014,M,13.6,-19.5,11.9,uncaged,normal,River,0,0,hatchery,,,,
NA,Yolo Bypass,2/5/2015,2014,M,12.7,-22.42,9.32,uncaged,normal,River,0,0,hatchery,,,,
NA,Yolo Bypass,2/5/2015,2014,M,13.79,-22.49,10.2,uncaged,normal,River,0,0,hatchery,,,,
NP14001,Yolo Bypass,2/14/2014,2014,M,4.3,-25.16,12.16,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14002,Yolo Bypass,2/14/2014,2014,M,3.6,-27.27,11.61,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14003,Yolo Bypass,2/14/2014,2014,M,4.1,-25.49,12.06,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14004,Yolo Bypass,2/14/2014,2014,M,4.9,-25.28,11.93,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14005,Yolo Bypass,2/14/2014,2014,M,3.4,-25.54,12.17,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14006,Yolo Bypass,2/14/2014,2014,M,5.6,-26.09,11.88,uncaged,dry,Floodplain,2,10,replicated fields,,,,
NP14007,Yolo Bypass,2/21/2014,2014,M,1.2,-27.99,11.82,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP14008,Yolo Bypass,2/21/2014,2014,M,0.1,-27.72,11.38,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP14009,Yolo Bypass,2/21/2014,2014,M,0.3,-29.45,11.35,uncaged,dry,Floodplain,3,17,replicated fields,,,,-1.034482759
NP14010,Yolo Bypass,2/21/2014,2014,M,-0.3,-29.46,10.97,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP14011,Yolo Bypass,2/21/2014,2014,M,-0.3,-29.51,11.23,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP14012,Yolo Bypass,2/21/2014,2014,M,0.8,-28.75,11.48,uncaged,dry,Floodplain,3,17,replicated fields,,,,
NP14013,Yolo Bypass,2/28/2014,2014,M,-2.9,-30.71,11.2,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14014,Yolo Bypass,2/28/2014,2014,M,-3.1,-30.87,11.42,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14015,Yolo Bypass,2/28/2014,2014,M,-1.2,-29.96,11.5,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14016,Yolo Bypass,2/28/2014,2014,M,-1.8,-31.04,11.7,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14017,Yolo Bypass,2/28/2014,2014,M,-3.2,-29.69,10.67,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14018,Yolo Bypass,2/28/2014,2014,M,-1.4,-28.73,11.44,uncaged,dry,Floodplain,4,24,replicated fields,,,,
NP14019,Yolo Bypass,3/7/2014,2014,M,-3.5,-29.44,10.72,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14020,Yolo Bypass,3/7/2014,2014,M,-1.9,-30.9,11.79,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14021,Yolo Bypass,3/7/2014,2014,M,-4.8,-31.11,10.98,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14022,Yolo Bypass,3/7/2014,2014,M,-3.7,-28.81,11.13,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14023,Yolo Bypass,3/7/2014,2014,M,-3.8,-31.68,11.22,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14024,Yolo Bypass,3/7/2014,2014,M,-3.4,-30.43,11.63,uncaged,dry,Floodplain,5,31,replicated fields,,,,
NP14025,Yolo Bypass,3/13/2014,2014,M,-5.1,-31.59,10.99,uncaged,dry,Floodplain,6,37,replicated fields,,,,
NP14027,Yolo Bypass,3/13/2014,2014,M,-3.9,-31.03,11.35,uncaged,dry,Floodplain,6,37,replicated fields,,,,
NP14028,Yolo Bypass,3/13/2014,2014,M,-4.1,-31.07,11.52,uncaged,dry,Floodplain,6,37,replicated fields,,,,
NP14029,Yolo Bypass,3/13/2014,2014,M,-4.4,-29.71,10.64,uncaged,dry,Floodplain,6,37,replicated fields,,,,
NP14030,Yolo Bypass,3/13/2014,2014,M,-5.5,-30.32,10.56,uncaged,dry,Floodplain,6,37,replicated fields,,,,
DM14007,Sacramento,2/12/2014,2014,S,1.04,-32.57,9.11,uncaged,dry,River,0,NA,River,,,,
DM14008,Sacramento,3/6/2014,2014,S,2.07,-29.7,5.64,uncaged,dry,River,0,NA,River,,,,
DM14016,Sacramento,4/11/2014,2014,S,0.73,-28.87,8.16,uncaged,dry,River,0,NA,River,,,,
DM14017,Sacramento,4/11/2014,2014,S,1.31,-29.54,7.66,uncaged,dry,River,0,NA,River,,,,
DM14018,Sacramento,4/11/2014,2014,S,2.01,-29,8.71,uncaged,dry,River,0,NA,River,,,,
DM14019,Sacramento,4/11/2014,2014,S,1,-28.7,7.74,uncaged,dry,River,0,NA,River,,,,
DM14020,Sacramento,4/11/2014,2014,S,1.59,-28.24,7.86,uncaged,dry,River,0,NA,River,,,,
DM14021,Sacramento,4/11/2014,2014,S,0.41,-26.62,6.75,uncaged,dry,River,0,NA,River,,,,
DM14022,Sacramento,4/11/2014,2014,S,0.16,-29.4,7.79,uncaged,dry,River,0,NA,River,,,,
DM14024,Sacramento,4/11/2014,2014,S,2.27,-27.42,7.71,uncaged,dry,River,0,NA,River,,,,
DM14025,Sacramento,4/11/2014,2014,S,0.06,-29.08,6.55,uncaged,dry,River,0,NA,River,,,,
DM14026,Sacramento,4/11/2014,2014,S,-0.13,-29.66,7.86,uncaged,dry,River,0,NA,River,,,,
DM14027,Sacramento,4/11/2014,2014,S,7.76,-24.76,9.8,uncaged,dry,River,0,NA,River,,,,
DM14042,Sacramento,3/31/2014,2014,S,5.56,-26.38,6.67,uncaged,dry,River,0,NA,River,,,,
DM14051,Sacramento,5/2/2014,2014,S,4.6,-26.3,8.12,uncaged,dry,River,0,NA,River,,,,
DM14052,Sacramento,5/2/2014,2014,S,4.27,-26.51,5.44,uncaged,dry,River,0,NA,River,,,,
DM14053,Sacramento,5/7/2014,2014,S,3.68,-27.93,8.58,uncaged,dry,River,0,NA,River,,,,
DM14054,Sacramento,5/7/2014,2014,S,3.99,-27.56,8.04,uncaged,dry,River,0,NA,River,,,,
DM14059,Sacramento,4/22/2014,2014,S,2.21,-28.05,6.8,uncaged,dry,River,0,NA,River,,,,
DM14063,Sacramento,4/22/2014,2014,S,2.8,-27.53,7.31,uncaged,dry,River,0,NA,River,,,,
DM14064,Sacramento,4/22/2014,2014,S,3.12,-27.69,7.7,uncaged,dry,River,0,NA,River,,,,
DM14056,Sacramento,3/28/2014,2014,S,0.13,-28.37,6.15,uncaged,dry,River,0,NA,River,,,,
DM14058,Sacramento,3/28/2014,2014,S,2.37,-27.73,6.14,uncaged,dry,River,0,NA,River,,,,
DM14138,Sacramento,3/18/2014,2014,S,7.21,-28.27,9.54,uncaged,dry,River,0,NA,River,,,,
DM14139,Sacramento,3/18/2014,2014,S,3.18,-29.86,3.32,uncaged,dry,River,0,NA,River,,,,
DM14140,Sacramento,3/18/2014,2014,S,NA,NA,NA,uncaged,dry,River,0,NA,River,,,,
DM14143,Sacramento,4/8/2014,2014,S,5.19,-27.66,8.14,uncaged,dry,River,0,NA,River,,,,
DM14011,Sacramento,3/6/2014,2014,S,6.36,-28.5,6.19,uncaged,dry,River,0,NA,River,,,,
DM14023,Sacramento,4/11/2014,2014,S,4.84,-28.5,7.16,uncaged,dry,River,0,NA,River,,,,
DM14028,Sacramento,4/11/2014,2014,S,1.59,-29.12,7.53,uncaged,dry,River,0,NA,River,,,,
DM14014,Sacramento,3/12/2014,2014,S,0.51,-30.78,3.76,uncaged,dry,River,0,NA,River,,,,
DM14031,Sacramento,3/13/2014,2014,S,NA,NA,NA,uncaged,dry,River,0,NA,River,,,,
DM14043,Sacramento,3/31/2014,2014,S,-0.48,-29.41,4.17,uncaged,dry,River,0,NA,River,,,,
DM14044,Sacramento,3/31/2014,2014,S,-1.94,-29.69,5.74,uncaged,dry,River,0,NA,River,,,,
DM14045,Sacramento,3/31/2014,2014,S,4.26,-26.29,6.87,uncaged,dry,River,0,NA,River,,,,
NP14001,Yolo Bypass,2/14/2014,2014,S,-4.12,-32.75,6.19,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14002,Yolo Bypass,2/14/2014,2014,S,-1.27,-31.79,6.44,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14003,Yolo Bypass,2/14/2014,2014,S,-3.5,-32.49,5.59,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14004,Yolo Bypass,2/14/2014,2014,S,-2.72,-31.89,5.87,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14005,Yolo Bypass,2/14/2014,2014,S,-2.68,-32.05,4.63,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14006,Yolo Bypass,2/14/2014,2014,S,-1.38,-30.76,6.78,uncaged,dry,Floodplain,,10,replicated fields,,,,
NP14007,Yolo Bypass,2/21/2014,2014,S,-0.8,-31.62,7.11,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14008,Yolo Bypass,2/21/2014,2014,S,0,-31.59,7.58,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14009,Yolo Bypass,2/21/2014,2014,S,-1.12,-34.32,7.14,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14010,Yolo Bypass,2/21/2014,2014,S,-1.84,-32.18,8.82,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14011,Yolo Bypass,2/21/2014,2014,S,-1.33,-32.81,8.67,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14012,Yolo Bypass,2/21/2014,2014,S,-0.7,-31.12,8.27,uncaged,dry,Floodplain,,17,replicated fields,,,,
NP14014,Yolo Bypass,2/28/2014,2014,S,-0.98,-38.32,7.14,uncaged,dry,Floodplain,,24,replicated fields,,,,
NP14015,Yolo Bypass,2/28/2014,2014,S,-1.73,-35.05,7.21,uncaged,dry,Floodplain,,24,replicated fields,,,,
NP14016,Yolo Bypass,2/28/2014,2014,S,-4.69,-37.23,8.02,uncaged,dry,Floodplain,,24,replicated fields,,,,
NP14017,Yolo Bypass,2/28/2014,2014,S,-4.57,-33.64,5.27,uncaged,dry,Floodplain,,24,replicated fields,,,,
NP14018,Yolo Bypass,2/28/2014,2014,S,-1.99,-32.63,5.34,uncaged,dry,Floodplain,,24,replicated fields,,,,
NP14019,Yolo Bypass,3/7/2014,2014,S,-4.69,-34.32,5.26,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14020,Yolo Bypass,3/7/2014,2014,S,-2.3,-35.61,7.02,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14021,Yolo Bypass,3/7/2014,2014,S,-4.68,-34.61,6.46,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14022,Yolo Bypass,3/7/2014,2014,S,-5.91,-34.17,5.39,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14023,Yolo Bypass,3/7/2014,2014,S,-5.91,-35.24,6.84,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14024,Yolo Bypass,3/7/2014,2014,S,-5.05,-35.96,7.18,uncaged,dry,Floodplain,,31,replicated fields,,,,
NP14025,Yolo Bypass,3/13/2014,2014,S,-4.14,-35.4,6.08,uncaged,dry,Floodplain,,37,replicated fields,,,,
NP14027,Yolo Bypass,3/13/2014,2014,S,-4.75,-34.2,6.66,uncaged,dry,Floodplain,,37,replicated fields,,,,
NP14028,Yolo Bypass,3/13/2014,2014,S,-3.83,-34.63,7.29,uncaged,dry,Floodplain,,37,replicated fields,,,,
NP14029,Yolo Bypass,3/13/2014,2014,S,-5.76,-32.78,6.74,uncaged,dry,Floodplain,,37,replicated fields,,,,
NP14030,Yolo Bypass,3/13/2014,2014,S,-5.86,-33,6.31,uncaged,dry,Floodplain,,37,replicated fields,,,,
DM15001,Sacramento,5/13/2015,2015,M,-1.6,-21.19,9.29,uncaged,dry,River,0,NA,River,,,,
DM15002,Sacramento,5/13/2015,2015,M,-1.2,-24.7,9.52,uncaged,dry,River,0,NA,River,,,,
DM15006,Sacramento,5/16/2015,2015,M,4,-26.21,10.49,uncaged,dry,River,0,NA,River,,,,
DM15009,Sacramento,4/10/2015,2015,M,2.2,-25.95,11.6,uncaged,dry,River,0,NA,River,,,,
DM15010,Sacramento,4/10/2015,2015,M,-1.1,-19.69,10.38,uncaged,dry,River,0,NA,River,,,,
DM15012,Sacramento,4/27/2015,2015,M,-0.8,-23.21,10.97,uncaged,dry,River,0,NA,River,,,,
DM15017,Sacramento,4/24/2015,2015,M,-1,-19.53,10.12,uncaged,dry,River,0,NA,River,,,,
DM15019,Sacramento,4/20/2015,2015,M,-1.1,-19.4,10.28,uncaged,dry,River,0,NA,River,,,,
DM15020,Sacramento,5/11/2015,2015,M,-2.1,-17.58,10.02,uncaged,dry,River,0,NA,River,,,,
DM15022,Sacramento,4/13/2015,2015,M,-0.9,-20.33,10.63,uncaged,dry,River,0,NA,River,,,,
DM15023,Sacramento,4/13/2015,2015,M,-1.2,-19.83,9.61,uncaged,dry,River,0,NA,River,,,,
DM15028,Sacramento,4/3/2015,2015,M,-0.8,-21.15,10.21,uncaged,dry,River,0,NA,River,,,,
DM15029,Sacramento,4/3/2015,2015,M,12.2,-20.18,11.94,uncaged,dry,River,0,NA,River,,,,
DM15030,Sacramento,2/9/2015,2015,M,15.2,-18.33,16.82,uncaged,dry,River,0,NA,River,,,,
DM15032,Sacramento,2/20/2015,2015,M,8.8,-20.95,13.34,uncaged,dry,River,0,NA,River,,,,
DM15040,Sacramento,1/20/2015,2015,M,8.4,-22.49,12.29,uncaged,dry,River,0,NA,River,,,,
DM15044,Sacramento,2/10/2015,2015,M,7.4,-24.37,11.99,uncaged,dry,River,0,NA,River,,,,
DM15045,Sacramento,2/10/2015,2015,M,4.7,-25.26,11.9,uncaged,dry,River,0,NA,River,,,,
DM15049,Sacramento,3/5/2015,2015,M,6.6,-26.12,11.37,uncaged,dry,River,0,NA,River,,,,
DM15050,Sacramento,2/24/2015,2015,M,10,-21.91,13.82,uncaged,dry,River,0,NA,River,,,,
DM15052,Sacramento,2/17/2015,2015,M,10.9,-20.83,14.24,uncaged,dry,River,0,NA,River,,,,
DM15053,Sacramento,2/17/2015,2015,M,13.6,-19.43,15.9,uncaged,dry,River,0,NA,River,,,,
DM15056,Sacramento,3/10/2015,2015,M,8.7,-23.14,12.34,uncaged,dry,River,0,NA,River,,,,
DM15058,Sacramento,3/17/2015,2015,M,6.4,-24.13,12.19,uncaged,dry,River,0,NA,River,,,,
DM15059,Sacramento,3/17/2015,2015,M,4.3,-24.41,11.69,uncaged,dry,River,0,NA,River,,,,
DM15060,Sacramento,1/6/2015,2015,M,8.4,-23.01,11.65,uncaged,dry,River,0,NA,River,,,,
DM15062,Sacramento,2/26/2015,2015,M,8.9,-24,13.39,uncaged,dry,River,0,NA,River,,,,
DM15063,Sacramento,2/19/2015,2015,M,9.2,-21.64,13.42,uncaged,dry,River,0,NA,River,,,,
DM15064,Sacramento,2/19/2015,2015,M,8.5,-23.33,13.18,uncaged,dry,River,0,NA,River,,,,
